,year,rating_homens,rating_mulheres
0,1922,3.6595744680851063,2.857142857142857
1,1926,3.0,
2,1930,3.823529411764706,3.0
3,1931,4.135135135135135,3.2857142857142856
4,1932,3.888888888888889,3.6666666666666665
5,1933,4.063291139240507,3.466666666666667
6,1934,4.0,4.093023255813954
7,1935,3.8737864077669903,3.875
8,1936,3.7096774193548385,4.0
9,1937,3.7375,3.765625
10,1938,3.8652482269503547,3.9682539682539684
11,1939,3.9515738498789346,4.1
12,1940,3.8578313253012047,3.9375
13,1941,4.065616797900263,3.90990990990991
14,1942,4.4088669950738915,4.362068965517241
15,1943,3.9047619047619047,2.6666666666666665
16,1944,3.897590361445783,4.03125
17,1945,3.6315789473684212,3.5
18,1946,4.101123595505618,4.043956043956044
19,1947,3.5813953488372094,3.6153846153846154
20,1948,4.176470588235294,3.5714285714285716
21,1949,4.253164556962025,3.4705882352941178
22,1950,3.7224669603524227,3.876190476190476
23,1951,3.9279538904899134,3.900763358778626
24,1952,4.105022831050229,3.8219178082191783
25,1953,4.0,4.133333333333334
26,1954,4.069544364508393,3.9448818897637796
27,1955,3.824858757062147,3.843137254901961
28,1956,3.797202797202797,3.4857142857142858
29,1957,4.103896103896104,3.7709923664122136
30,1958,3.867109634551495,3.757575757575758
31,1959,4.069364161849711,3.773913043478261
32,1960,3.925925925925926,3.8666666666666667
33,1961,3.3394495412844036,3.6984126984126986
34,1962,4.18004338394794,4.093959731543624
35,1963,3.9765625,3.828125
36,1964,3.656862745098039,3.9797979797979797
37,1965,3.433673469387755,3.9263157894736844
38,1966,3.967741935483871,3.0588235294117645
39,1967,3.9953596287703017,3.9849624060150375
40,1968,3.8160237388724036,3.526315789473684
41,1969,3.8268551236749118,3.578125
42,1970,3.8914473684210527,3.641304347826087
43,1971,3.7239669421487602,3.6470588235294117
44,1972,4.271428571428571,4.0508474576271185
45,1973,3.950191570881226,3.7866666666666666
46,1974,4.03209242618742,3.866336633663366
47,1975,3.9794776119402986,3.7243589743589745
48,1976,3.335294117647059,3.381818181818182
49,1977,4.175787728026534,4.046511627906977
50,1978,3.3267326732673266,3.5
51,1979,3.8125,3.5688073394495414
52,1980,3.9121779859484778,3.75
53,1981,3.706793802145411,3.6202531645569622
54,1982,3.7871376811594204,3.6448863636363638
55,1983,3.672645739910314,3.736111111111111
56,1984,3.8129423660262893,3.6870503597122304
57,1985,3.8595271210013906,3.681592039800995
58,1986,3.741078838174274,3.6379310344827585
59,1987,3.764367816091954,3.7259786476868326
60,1988,3.7148760330578514,3.6519607843137254
61,1989,3.6906756002233387,3.796133567662566
62,1990,3.578425294482331,3.569937369519833
63,1991,3.770221904080172,3.750996015936255
64,1992,3.465546218487395,3.462121212121212
65,1993,3.503335354760461,3.5871345029239765
66,1994,3.423628048780488,3.4277753964852122
67,1995,3.353531404743289,3.402477876106195
68,1996,3.2902020481594243,3.4189497716894977
69,1997,3.3681576229443078,3.3934665002080733
70,1998,3.367688022284123,3.2124542124542126
